method,memory_scale,toxicity_rate,mean_toxicity_score,perplexity,windows,stride
baseline,0.0,1.0,0.3024757708219113,32.026189972348824,64,512
lora_r64,0.05,1.0,0.29925935254548675,31.956567291567474,64,512
lora_r64,0.1,1.0,0.3535165307839634,32.16993430411502,64,512
lora_r64,0.17,1.0,0.3678284285485279,32.785493183221746,64,512
lora_r64,0.25,1.0,0.40545706973061896,33.767528723826416,64,512
lora_r64,0.35,1.0,0.40682910588628146,35.17572829797663,64,512
lora_r64,0.5,0.99,0.45875895212811885,37.2799305498184,64,512
