model,lens,hs,j,energy,model_kl
llama8b,lora_topk,8,0,61.146851,3.761494
llama8b,lora_topk,8,1,15.580357,1.448801
llama8b,lora_topk,8,2,14.123056,2.051112
llama8b,lora_topk,8,3,4.604779,0.334254
llama8b,lora_topk,8,4,2.011727,1.14134
llama8b,lora_topk,8,5,1.219169,0.143609
llama8b,lora_topk,8,6,0.757561,0.005993
llama8b,lora_topk,8,7,0.621718,0.077607
llama8b,lora_topk,8,8,0.521707,0.267454
llama8b,lora_topk,8,9,0.467568,0.03674
llama8b,lora_topk,8,10,0.430553,0.010967
llama8b,lora_topk,8,11,0.391196,0.004539
llama8b,lora_topk,8,12,0.313014,0.023478
llama8b,lora_topk,8,13,0.302569,0.016284
llama8b,lora_topk,8,14,0.288545,0.00663
llama8b,lora_topk,8,15,0.287139,0.063548
llama8b,lora_is,8,0,51.738861,1.974341
llama8b,lora_is,8,1,49.656773,4.109347
llama8b,lora_is,8,2,13.626842,0.647399
llama8b,lora_is,8,3,9.667171,0.966422
llama8b,lora_is,8,4,4.865987,0.11725
llama8b,lora_is,8,5,4.59242,0.332893
llama8b,lora_is,8,6,2.01272,0.266627
llama8b,lora_is,8,7,1.455596,0.046973
llama8b,lora_is,8,8,1.219153,0.002904
llama8b,lora_is,8,9,1.059711,0.066489
llama8b,lora_is,8,10,1.000927,0.016328
llama8b,lora_is,8,11,0.945184,0.013281
llama8b,lora_is,8,12,0.81081,0.005394
llama8b,lora_is,8,13,0.778146,0.002638
llama8b,lora_is,8,14,0.732877,0.006028
llama8b,lora_is,8,15,0.707012,0.003866
llama8b,random,12,0,,0.002396
llama8b,random,12,1,,0.003231
llama8b,random,12,2,,0.0014
llama8b,random,12,3,,0.002047
llama8b,random,12,4,,0.000768
llama8b,random,12,5,,0.001344
llama8b,random,12,6,,0.003357
llama8b,random,12,7,,0.003932
llama8b,random,12,8,,0.001238
llama8b,random,12,9,,0.000817
llama8b,random,12,10,,0.002301
llama8b,random,12,11,,0.000692
llama8b,random,12,12,,0.002193
llama8b,random,12,13,,0.000886
llama8b,random,12,14,,0.000906
llama8b,random,12,15,,0.003188
llama8b,logit,12,0,60.307964,2.769
llama8b,logit,12,1,44.72065,2.282191
llama8b,logit,12,2,21.648819,0.74686
llama8b,logit,12,3,7.598998,0.721726
llama8b,logit,12,4,2.593216,0.053034
llama8b,logit,12,5,2.308929,0.183101
llama8b,logit,12,6,2.135749,0.159783
llama8b,logit,12,7,1.871189,0.229588
llama8b,logit,12,8,1.648483,0.012548
llama8b,logit,12,9,1.43243,0.08175
llama8b,logit,12,10,1.280276,0.007164
llama8b,logit,12,11,1.150434,0.137556
llama8b,logit,12,12,1.048987,0.005068
llama8b,logit,12,13,0.891756,0.004627
llama8b,logit,12,14,0.856707,0.02682
llama8b,logit,12,15,0.608342,0.004153
llama8b,tuned,12,0,38.716606,4.12691
llama8b,tuned,12,1,22.080778,1.272532
llama8b,tuned,12,2,10.629635,1.08356
llama8b,tuned,12,3,8.301844,0.38618
llama8b,tuned,12,4,2.314694,0.410894
llama8b,tuned,12,5,2.095164,0.094025
llama8b,tuned,12,6,1.343353,0.027966
llama8b,tuned,12,7,1.271738,0.023448
llama8b,tuned,12,8,1.26671,0.013072
llama8b,tuned,12,9,1.201095,0.003573
llama8b,tuned,12,10,1.045735,0.016502
llama8b,tuned,12,11,0.952628,0.003888
llama8b,tuned,12,12,0.926709,0.004201
llama8b,tuned,12,13,0.90819,0.035581
llama8b,tuned,12,14,0.777525,0.005555
llama8b,tuned,12,15,0.758578,0.00471
llama8b,lora_topk,12,0,38.256874,5.077627
llama8b,lora_topk,12,1,20.211758,1.656734
llama8b,lora_topk,12,2,4.15508,0.563758
llama8b,lora_topk,12,3,2.185418,1.36833
llama8b,lora_topk,12,4,1.371695,0.214262
llama8b,lora_topk,12,5,0.821459,0.028758
llama8b,lora_topk,12,6,0.628094,0.325532
llama8b,lora_topk,12,7,0.627709,0.021726
llama8b,lora_topk,12,8,0.585555,0.029514
llama8b,lora_topk,12,9,0.469798,0.00481
llama8b,lora_topk,12,10,0.466505,0.005744
llama8b,lora_topk,12,11,0.341995,0.015374
llama8b,lora_topk,12,12,0.275991,0.005026
llama8b,lora_topk,12,13,0.209675,0.004246
llama8b,lora_topk,12,14,0.178474,0.021085
llama8b,lora_topk,12,15,0.176449,0.029876
llama8b,lora_is,12,0,39.403641,4.089622
llama8b,lora_is,12,1,20.975327,1.044355
llama8b,lora_is,12,2,13.51757,1.482841
llama8b,lora_is,12,3,5.611324,0.552875
llama8b,lora_is,12,4,4.588323,0.228863
llama8b,lora_is,12,5,1.885574,0.024325
llama8b,lora_is,12,6,1.55977,0.353807
llama8b,lora_is,12,7,1.345626,0.00454
llama8b,lora_is,12,8,1.324071,0.00859
llama8b,lora_is,12,9,1.184355,0.006168
llama8b,lora_is,12,10,1.097322,0.006782
llama8b,lora_is,12,11,0.945897,0.009464
llama8b,lora_is,12,12,0.850798,0.027662
llama8b,lora_is,12,13,0.785665,0.027311
llama8b,lora_is,12,14,0.623665,0.004769
llama8b,lora_is,12,15,0.612145,0.081193
llama8b,random,16,0,,0.002221
llama8b,random,16,1,,0.00308
llama8b,random,16,2,,0.001352
llama8b,random,16,3,,0.001897
llama8b,random,16,4,,0.000758
llama8b,random,16,5,,0.001267
llama8b,random,16,6,,0.003185
llama8b,random,16,7,,0.003648
llama8b,random,16,8,,0.001157
llama8b,random,16,9,,0.000753
llama8b,random,16,10,,0.002155
llama8b,random,16,11,,0.000675
llama8b,random,16,12,,0.002026
llama8b,random,16,13,,0.000819
llama8b,random,16,14,,0.000856
llama8b,random,16,15,,0.002965
llama8b,logit,16,0,39.949883,2.394384
llama8b,logit,16,1,30.186522,1.861719
llama8b,logit,16,2,11.5703,0.67554
llama8b,logit,16,3,3.171754,0.335978
llama8b,logit,16,4,1.896513,0.035318
llama8b,logit,16,5,1.68068,0.038894
llama8b,logit,16,6,1.465811,0.02497
llama8b,logit,16,7,1.433029,0.044896
llama8b,logit,16,8,1.288443,0.085975
llama8b,logit,16,9,1.266463,0.028691
llama8b,logit,16,10,1.086922,0.499772
llama8b,logit,16,11,1.055223,0.179496
llama8b,logit,16,12,1.052246,0.01032
llama8b,logit,16,13,1.001967,0.005063
llama8b,logit,16,14,0.621991,0.112117
llama8b,logit,16,15,0.381206,0.2981
llama8b,tuned,16,0,11.970488,1.151603
llama8b,tuned,16,1,8.791657,0.590656
llama8b,tuned,16,2,3.990422,3.263835
llama8b,tuned,16,3,2.46033,0.278573
llama8b,tuned,16,4,1.641332,0.03609
llama8b,tuned,16,5,1.600145,0.02773
llama8b,tuned,16,6,1.522173,0.037185
llama8b,tuned,16,7,1.322884,0.050055
llama8b,tuned,16,8,1.29971,0.010287
llama8b,tuned,16,9,1.244109,0.002987
llama8b,tuned,16,10,1.136136,0.006083
llama8b,tuned,16,11,1.130486,0.018646
llama8b,tuned,16,12,1.09239,0.009246
llama8b,tuned,16,13,0.957289,0.003925
llama8b,tuned,16,14,0.890753,0.054431
llama8b,tuned,16,15,0.881697,0.04935
llama8b,lora_topk,16,0,27.6507,4.079672
llama8b,lora_topk,16,1,15.414341,1.403908
llama8b,lora_topk,16,2,3.146785,1.484502
llama8b,lora_topk,16,3,1.872933,0.29858
llama8b,lora_topk,16,4,1.760339,0.127762
llama8b,lora_topk,16,5,1.159766,0.02795
llama8b,lora_topk,16,6,0.904863,0.008698
llama8b,lora_topk,16,7,0.834079,0.004101
llama8b,lora_topk,16,8,0.802433,0.027392
llama8b,lora_topk,16,9,0.75183,0.003342
llama8b,lora_topk,16,10,0.701885,0.004682
llama8b,lora_topk,16,11,0.667644,0.470886
llama8b,lora_topk,16,12,0.588492,0.013027
llama8b,lora_topk,16,13,0.457821,0.005075
llama8b,lora_topk,16,14,0.431705,0.00585
llama8b,lora_topk,16,15,0.396728,0.003857
llama8b,lora_is,16,0,28.504711,1.661049
llama8b,lora_is,16,1,20.088604,2.932463
llama8b,lora_is,16,2,7.199406,0.719192
llama8b,lora_is,16,3,6.104364,0.939878
llama8b,lora_is,16,4,3.128286,0.025511
llama8b,lora_is,16,5,3.110245,0.022727
llama8b,lora_is,16,6,1.836196,0.041491
llama8b,lora_is,16,7,1.637162,0.068163
llama8b,lora_is,16,8,1.573132,0.083103
llama8b,lora_is,16,9,1.350019,0.094266
llama8b,lora_is,16,10,1.18349,0.023298
llama8b,lora_is,16,11,1.090784,0.003427
llama8b,lora_is,16,12,1.049617,0.018637
llama8b,lora_is,16,13,0.888317,0.007309
llama8b,lora_is,16,14,0.856273,0.004803
