run_name,label,step,layer,kl
gpt2_preemptable_is_sweep_1000__lora_subset_is_r64_k512_tail512,head+IS 512+512,1000,5,0.8005045652389526
gpt2_preemptable_is_sweep_1000__lora_subset_is_r64_k512_tail512,head+IS 512+512,1000,6,0.5700937509536743
gpt2_preemptable_is_sweep_1000__lora_subset_is_r64_k512_tail512,head+IS 512+512,1000,7,0.4709834158420563
gpt2_preemptable_is_sweep_1000__lora_subset_is_r64_k512_tail512,head+IS 512+512,1000,8,0.3430197834968567
gpt2_preemptable_is_sweep_1000__lora_subset_is_r64_k512_tail512,head+IS 512+512,1000,9,0.25089919567108154
gpt2_preemptable_is_sweep_1000__lora_subset_is_r64_k512_tail512,head+IS 512+512,1000,10,0.14580309391021729
gpt2_preemptable_is_sweep_1000__lora_subset_is_r64_k512_tail512,head+IS 512+512,1000,11,0.06661006063222885
gpt2_preemptable_is_sweep_1000__lora_subset_is_r64_k1024_tail1024,head+IS 1024+1024,1000,0,1.329761266708374
gpt2_preemptable_is_sweep_1000__lora_subset_is_r64_k1024_tail1024,head+IS 1024+1024,1000,1,1.035444974899292
gpt2_preemptable_is_sweep_1000__lora_subset_is_r64_k1024_tail1024,head+IS 1024+1024,1000,2,0.951590895652771
gpt2_preemptable_is_sweep_1000__lora_subset_is_r64_k1024_tail1024,head+IS 1024+1024,1000,3,0.8913125991821289
gpt2_preemptable_is_sweep_1000__lora_subset_is_r64_k1024_tail1024,head+IS 1024+1024,1000,4,0.8348069787025452
gpt2_preemptable_is_sweep_1000__lora_subset_is_r64_k1024_tail1024,head+IS 1024+1024,1000,5,0.796363115310669
gpt2_preemptable_is_sweep_1000__lora_subset_is_r64_k1024_tail1024,head+IS 1024+1024,1000,6,0.5590136647224426
gpt2_preemptable_is_sweep_1000__lora_subset_is_r64_k1024_tail1024,head+IS 1024+1024,1000,7,0.4526249170303345
gpt2_preemptable_is_sweep_1000__lora_subset_is_r64_k1024_tail1024,head+IS 1024+1024,1000,8,0.3299209475517273
gpt2_preemptable_is_sweep_1000__lora_subset_is_r64_k1024_tail1024,head+IS 1024+1024,1000,9,0.2447299361228943
gpt2_preemptable_is_sweep_1000__lora_subset_is_r64_k1024_tail1024,head+IS 1024+1024,1000,10,0.14573009312152863
gpt2_preemptable_is_sweep_1000__lora_subset_is_r64_k1024_tail1024,head+IS 1024+1024,1000,11,0.06534813344478607
