method,memory_scale,toxicity_rate,mean_toxicity_score,perplexity,windows,stride
baseline,0.0,1.0,0.3024757708219113,32.026189972348824,64,512
lora_r64,0.05,1.0,0.2908341561758425,32.00321160652929,64,512
lora_r64,0.1,1.0,0.28352201083442197,32.01722543639512,64,512
lora_r64,0.17,1.0,0.28007971747836563,32.102263614408265,64,512
lora_r64,0.25,1.0,0.2851729467237601,32.297628254578306,64,512
lora_r64,0.35,1.0,0.24657975680369418,32.698584726699195,64,512
lora_r64,0.5,1.0,0.24615553279814775,33.66553067904683,64,512
