variant,family,rank,layer,kl
truncated_r32,truncated,32,0,6.304158
truncated_r32,truncated,32,1,3.412833
truncated_r32,truncated,32,2,3.067225
truncated_r32,truncated,32,3,2.878208
truncated_r32,truncated,32,4,2.639109
truncated_r32,truncated,32,5,2.598399
truncated_r32,truncated,32,6,1.646057
truncated_r32,truncated,32,7,1.344390
truncated_r32,truncated,32,8,0.858454
truncated_r32,truncated,32,9,0.639100
truncated_r32,truncated,32,10,0.339870
truncated_r32,truncated,32,11,0.133849
random_r32,random,32,0,39.213393
random_r32,random,32,1,8.038454
random_r32,random,32,2,7.037951
random_r32,random,32,3,6.786506
random_r32,random,32,4,6.961553
random_r32,random,32,5,6.239083
random_r32,random,32,6,4.881180
random_r32,random,32,7,3.876784
random_r32,random,32,8,2.668321
random_r32,random,32,9,2.434600
random_r32,random,32,10,2.079074
random_r32,random,32,11,1.307077
trained_r32,trained,32,0,3.684091
trained_r32,trained,32,1,2.581332
trained_r32,trained,32,2,2.459262
trained_r32,trained,32,3,2.344271
trained_r32,trained,32,4,2.183147
trained_r32,trained,32,5,2.111039
trained_r32,trained,32,6,1.129472
trained_r32,trained,32,7,0.879619
trained_r32,trained,32,8,0.581298
trained_r32,trained,32,9,0.423748
trained_r32,trained,32,10,0.238014
trained_r32,trained,32,11,0.086129
truncated_r64,truncated,64,0,4.351986
truncated_r64,truncated,64,1,2.913125
truncated_r64,truncated,64,2,2.698798
truncated_r64,truncated,64,3,2.526533
truncated_r64,truncated,64,4,2.383747
truncated_r64,truncated,64,5,2.319948
truncated_r64,truncated,64,6,1.293764
truncated_r64,truncated,64,7,1.053355
truncated_r64,truncated,64,8,0.706006
truncated_r64,truncated,64,9,0.517990
truncated_r64,truncated,64,10,0.287841
truncated_r64,truncated,64,11,0.115109
random_r64,random,64,0,31.573689
random_r64,random,64,1,7.690001
random_r64,random,64,2,6.722861
random_r64,random,64,3,6.124556
random_r64,random,64,4,6.297999
random_r64,random,64,5,5.741644
random_r64,random,64,6,4.229664
random_r64,random,64,7,3.536238
random_r64,random,64,8,2.770038
random_r64,random,64,9,2.318789
random_r64,random,64,10,1.971896
random_r64,random,64,11,1.190894
trained_r64,trained,64,0,3.551202
trained_r64,trained,64,1,2.375498
trained_r64,trained,64,2,2.214247
trained_r64,trained,64,3,2.090530
trained_r64,trained,64,4,1.982154
trained_r64,trained,64,5,1.910374
trained_r64,trained,64,6,0.967896
trained_r64,trained,64,7,0.757951
trained_r64,trained,64,8,0.517159
trained_r64,trained,64,9,0.379193
trained_r64,trained,64,10,0.212730
trained_r64,trained,64,11,0.079646
truncated_r128,truncated,128,0,3.268683
truncated_r128,truncated,128,1,2.573792
truncated_r128,truncated,128,2,2.347503
truncated_r128,truncated,128,3,2.194096
truncated_r128,truncated,128,4,2.047339
truncated_r128,truncated,128,5,1.971536
truncated_r128,truncated,128,6,1.050044
truncated_r128,truncated,128,7,0.827846
truncated_r128,truncated,128,8,0.566376
truncated_r128,truncated,128,9,0.421081
truncated_r128,truncated,128,10,0.235217
truncated_r128,truncated,128,11,0.096181
random_r128,random,128,0,22.784533
random_r128,random,128,1,7.136808
random_r128,random,128,2,6.223294
random_r128,random,128,3,6.318484
random_r128,random,128,4,6.003550
random_r128,random,128,5,5.971364
random_r128,random,128,6,3.901538
random_r128,random,128,7,3.636117
random_r128,random,128,8,2.394654
random_r128,random,128,9,2.344341
random_r128,random,128,10,1.705590
random_r128,random,128,11,1.051901
trained_r128,trained,128,0,3.352866
trained_r128,trained,128,1,2.254671
trained_r128,trained,128,2,2.097258
trained_r128,trained,128,3,1.952463
trained_r128,trained,128,4,1.857315
trained_r128,trained,128,5,1.795031
trained_r128,trained,128,6,0.876118
trained_r128,trained,128,7,0.697668
trained_r128,trained,128,8,0.477812
trained_r128,trained,128,9,0.349679
trained_r128,trained,128,10,0.201231
trained_r128,trained,128,11,0.072829
truncated_r256,truncated,256,0,2.990020
truncated_r256,truncated,256,1,2.279053
truncated_r256,truncated,256,2,2.116505
truncated_r256,truncated,256,3,1.957783
truncated_r256,truncated,256,4,1.840949
truncated_r256,truncated,256,5,1.776161
truncated_r256,truncated,256,6,0.882782
truncated_r256,truncated,256,7,0.700532
truncated_r256,truncated,256,8,0.475434
truncated_r256,truncated,256,9,0.347234
truncated_r256,truncated,256,10,0.193887
truncated_r256,truncated,256,11,0.082881
random_r256,random,256,0,14.719376
random_r256,random,256,1,6.115157
random_r256,random,256,2,5.528401
random_r256,random,256,3,5.159835
random_r256,random,256,4,4.775753
random_r256,random,256,5,5.099745
random_r256,random,256,6,3.060027
random_r256,random,256,7,3.291580
random_r256,random,256,8,2.176212
random_r256,random,256,9,1.889535
random_r256,random,256,10,1.467088
random_r256,random,256,11,1.220292
trained_r256,trained,256,0,3.154329
trained_r256,trained,256,1,2.168018
trained_r256,trained,256,2,2.056404
trained_r256,trained,256,3,1.930978
trained_r256,trained,256,4,1.827725
trained_r256,trained,256,5,1.770832
trained_r256,trained,256,6,0.835517
trained_r256,trained,256,7,0.673812
trained_r256,trained,256,8,0.452443
trained_r256,trained,256,9,0.327355
trained_r256,trained,256,10,0.186522
trained_r256,trained,256,11,0.071010
truncated_r384,truncated,384,0,2.945631
truncated_r384,truncated,384,1,2.194044
truncated_r384,truncated,384,2,2.040439
truncated_r384,truncated,384,3,1.889602
truncated_r384,truncated,384,4,1.768633
