variant,family,rank,layer,kl
truncated_r32,truncated,32,0,5.943549
truncated_r32,truncated,32,1,3.762135
truncated_r32,truncated,32,2,3.452376
truncated_r32,truncated,32,3,3.237397
truncated_r32,truncated,32,4,3.009300
truncated_r32,truncated,32,5,2.878601
truncated_r32,truncated,32,6,2.241115
truncated_r32,truncated,32,7,1.971157
truncated_r32,truncated,32,8,1.474205
truncated_r32,truncated,32,9,1.067643
truncated_r32,truncated,32,10,0.601118
truncated_r32,truncated,32,11,0.233974
random_r32,random,32,0,34.559530
random_r32,random,32,1,7.228146
random_r32,random,32,2,6.413034
random_r32,random,32,3,5.922339
random_r32,random,32,4,6.043390
random_r32,random,32,5,5.869822
random_r32,random,32,6,4.981996
random_r32,random,32,7,4.707066
random_r32,random,32,8,3.698081
random_r32,random,32,9,3.287189
random_r32,random,32,10,2.749470
random_r32,random,32,11,1.543188
trained_r32,trained,32,0,4.109393
trained_r32,trained,32,1,3.332075
trained_r32,trained,32,2,3.152944
trained_r32,trained,32,3,2.979352
trained_r32,trained,32,4,2.824554
trained_r32,trained,32,5,2.684873
trained_r32,trained,32,6,2.086813
trained_r32,trained,32,7,1.730908
trained_r32,trained,32,8,1.238039
trained_r32,trained,32,9,0.839372
trained_r32,trained,32,10,0.435330
trained_r32,trained,32,11,0.163347
truncated_r64,truncated,64,0,4.833463
truncated_r64,truncated,64,1,3.597800
truncated_r64,truncated,64,2,3.277340
truncated_r64,truncated,64,3,3.067102
truncated_r64,truncated,64,4,2.874316
truncated_r64,truncated,64,5,2.784517
truncated_r64,truncated,64,6,2.127500
truncated_r64,truncated,64,7,1.844697
truncated_r64,truncated,64,8,1.384275
truncated_r64,truncated,64,9,0.975822
truncated_r64,truncated,64,10,0.534101
truncated_r64,truncated,64,11,0.206616
random_r64,random,64,0,28.608727
random_r64,random,64,1,6.954973
random_r64,random,64,2,6.247773
random_r64,random,64,3,5.950693
random_r64,random,64,4,5.614229
random_r64,random,64,5,5.619006
random_r64,random,64,6,4.819739
random_r64,random,64,7,4.563188
random_r64,random,64,8,3.717690
random_r64,random,64,9,3.245479
random_r64,random,64,10,2.724846
random_r64,random,64,11,1.496037
trained_r64,trained,64,0,4.135619
trained_r64,trained,64,1,3.258617
trained_r64,trained,64,2,3.058068
trained_r64,trained,64,3,2.903885
trained_r64,trained,64,4,2.748858
trained_r64,trained,64,5,2.622393
trained_r64,trained,64,6,1.971177
trained_r64,trained,64,7,1.632822
trained_r64,trained,64,8,1.165569
trained_r64,trained,64,9,0.812018
trained_r64,trained,64,10,0.418635
trained_r64,trained,64,11,0.156284
truncated_r128,truncated,128,0,4.255881
truncated_r128,truncated,128,1,3.362919
truncated_r128,truncated,128,2,3.107466
truncated_r128,truncated,128,3,2.932947
truncated_r128,truncated,128,4,2.750342
truncated_r128,truncated,128,5,2.670713
truncated_r128,truncated,128,6,2.019109
truncated_r128,truncated,128,7,1.697080
truncated_r128,truncated,128,8,1.240331
truncated_r128,truncated,128,9,0.866986
truncated_r128,truncated,128,10,0.458455
truncated_r128,truncated,128,11,0.183437
random_r128,random,128,0,21.864082
random_r128,random,128,1,6.505133
random_r128,random,128,2,5.790937
random_r128,random,128,3,5.808889
