method,memory_scale,toxicity_rate,mean_toxicity_score,perplexity,windows,stride
baseline,0.0,1.0,0.26328464632329995,26.915529251098633,64,512
tuned,0.05,0.99,0.236369146440411,27.08763885498047,64,512
tuned,0.1,1.0,0.26094361509080044,29.19662857055664,64,512
tuned,0.17,1.0,0.2531712615245488,42.441898345947266,64,512
tuned,0.25,1.0,0.15254461329139304,303.22747802734375,64,512
tuned,0.35,1.0,0.06024637554655783,5081.0185546875,64,512
tuned,0.5,1.0,0.05441023268620484,7684.484375,64,512
