model,task,lens,detector,auroc,ci_lo,ci_hi,d_vs_tuned,d_lo,d_hi
llama8b,qqp,tuned,lof,1.0,1.0,1.0,,,
llama8b,qqp,lora_topk,lof,1.0,1.0,1.0,0.0,0.0,0.0
llama8b,qqp,lora_is,lof,1.0,1.0,1.0,0.0,0.0,0.0
llama8b,sciq,logit,iforest,0.6044,0.5609,0.649,0.0264,-0.017,0.0703
llama8b,sciq,tuned,iforest,0.578,0.5383,0.6168,,,
llama8b,sciq,lora_topk,iforest,0.5742,0.5338,0.6129,-0.0039,-0.0373,0.0272
llama8b,sciq,lora_is,iforest,0.5002,0.4615,0.5403,-0.0778,-0.1132,-0.044
llama8b,sciq,logit,lof,0.6233,0.5847,0.6639,0.0687,0.0254,0.1145
llama8b,sciq,tuned,lof,0.5545,0.5158,0.5941,,,
llama8b,sciq,lora_topk,lof,0.5816,0.5425,0.621,0.0271,-0.0098,0.0634
llama8b,sciq,lora_is,lof,0.493,0.454,0.5339,-0.0616,-0.0958,-0.0274
llama8b,sst2,logit,iforest,0.9918,0.9807,0.9995,-0.0035,-0.0076,-0.0005
llama8b,sst2,tuned,iforest,0.9953,0.9876,1.0,,,
llama8b,sst2,lora_topk,iforest,0.9987,0.9957,1.0,0.0034,0.0,0.01
llama8b,sst2,lora_is,iforest,0.9978,0.9933,1.0,0.0025,-0.0001,0.0081
llama8b,sst2,logit,lof,1.0,1.0,1.0,0.0,0.0,0.0
llama8b,sst2,tuned,lof,1.0,1.0,1.0,,,
llama8b,sst2,lora_topk,lof,1.0,1.0,1.0,0.0,0.0,0.0
llama8b,sst2,lora_is,lof,1.0,1.0,1.0,0.0,0.0,0.0
