model,ds,tau,chooser,pick,causal_best,nL,gain_pct,P_at_pick,P_obs,KL_at_pick,top1keep,eff,null
LLaMA-3-8B,hand,1.0,lens:logit,29,31,32,98.83975048821875,0.60267802,0.42986236181878296,1.025226,0.622642,0.16856347593722465,False
LLaMA-3-8B,hand,1.0,lens:is_parity250,29,31,32,98.83975048821875,0.60267802,0.42986236181878296,1.025226,0.622642,0.16856347593722465,False
LLaMA-3-8B,hand,1.0,lens:topk_parity250,29,31,32,98.83975048821875,0.60267802,0.42986236181878296,1.025226,0.622642,0.16856347593722465,False
LLaMA-3-8B,hand,1.0,lens:tuned_parity250,27,31,32,97.27235584896141,0.59993752,0.42986236181878296,0.999195,0.622642,0.1702121789853002,False
LLaMA-3-8B,hand,2.0,oracle(argmaxE),17,17,32,100.0,0.54660538,0.42986236181878296,1.349116,0.632075,0.08653297283644777,False
LLaMA-3-8B,hand,2.0,heuristic(last),31,17,32,22.369378989910906,0.45597705,0.42986236181878296,2.49009,0.528302,0.010487447514434032,False
LLaMA-3-8B,hand,2.0,lens:logit,29,17,32,65.6916613738498,0.50655279,0.42986236181878296,1.919567,0.556604,0.039951941339488026,False
LLaMA-3-8B,hand,2.0,lens:is_parity250,29,17,32,65.6916613738498,0.50655279,0.42986236181878296,1.919567,0.556604,0.039951941339488026,False
LLaMA-3-8B,hand,2.0,lens:topk_parity250,29,17,32,65.6916613738498,0.50655279,0.42986236181878296,1.919567,0.556604,0.039951941339488026,False
LLaMA-3-8B,hand,2.0,lens:tuned_parity250,27,17,32,71.43194469391746,0.51325417,0.42986236181878296,1.808292,0.566038,0.04611633971793106,False
LLaMA-3-8B,hand,4.0,oracle(argmaxE),0,0,32,100.0,0.43124692,0.42986236181878296,0.030587,0.981132,0.0452662301375428,False
LLaMA-3-8B,hand,4.0,heuristic(last),31,0,32,-15884.277367489743,0.2099353,0.42986236181878296,5.980696,0.311321,-0.03677282072500976,False
LLaMA-3-8B,hand,4.0,lens:logit,29,0,32,-11682.011923587808,0.26811811,0.42986236181878296,4.897613,0.358491,-0.033025118934220186,False
LLaMA-3-8B,hand,4.0,lens:is_parity250,29,0,32,-11682.011923587808,0.26811811,0.42986236181878296,4.897613,0.358491,-0.033025118934220186,False
LLaMA-3-8B,hand,4.0,lens:topk_parity250,29,0,32,-11682.011923587808,0.26811811,0.42986236181878296,4.897613,0.358491,-0.033025118934220186,False
LLaMA-3-8B,hand,4.0,lens:tuned_parity250,27,0,32,-10585.285891702848,0.28330292,0.42986236181878296,4.432204,0.396226,-0.033066944079916664,False
LLaMA-3-8B,2wmh,1.0,oracle(argmaxE),31,31,32,99.99999999999999,0.05630198,0.012545985607050994,1.294925,0.555,0.03379036962986196,False
